database;workloadName;phase;run;recordcount;operationcount;productsperorder;componentsperproduct;testparametercount;fieldlength;insertproportion;readproportion;scanproportion;updateproportion;onlynodes;index;overall time (ms);overall throughput (ops/sec);initialise average (ms);sys_load_avg min;sys_load_avg max;sys_load_avg average;sys_load_avg StdD;thread_count min;thread_count max;thread_count average;thread_count StdD;used_mem_mb min;used_mem_mb max;used_mem_mb average;used_mem_mb StdD;cleanup average;insert min (us);insert max (us);insert average (us);insert StdD (us);insertNode min (us);insertNode max (us);insertNode average (us);insertNode StdD (us);insertEdge min (us);insertEdge max (us);insertEdge average (us);insertEdge StdD (us);read min (us);read max (us);read average (us);read StdD (us);scan min (us);scan max (us);scan average (us);scan StdD (us);
orientdb;3.ResponsivenessIndexScan;load;1;1;10000;1;1;1;50;95;0;5;0;false;true;17254;0,0579575750550597;1,7227776E7;1;1;1,0;0,000;3;7;5,333333333333333;0,002;15;34;23,666666666666668;0,008;71,0;3762;3763;3763,0;0,000;3762;3763;3763,0;0,000;;;;;;;;;;;;;
orientdb;3.ResponsivenessIndexScan;load;2;1;10000;1;1;1;50;95;0;5;0;false;true;18713;0,053438785870785016;1,8685952E7;1;1;1,0;0,000;3;7;5,333333333333333;0,002;15;34;22,666666666666668;0,008;78,0;3768;3769;3769,0;0,000;3768;3769;3769,0;0,000;;;;;;;;;;;;;
orientdb;3.ResponsivenessIndexScan;load;3;1;10000;1;1;1;50;95;0;5;0;false;true;17667;0,056602705609328126;1,7637376E7;1;1;1,0;0,000;3;7;5,333333333333333;0,002;15;35;24,333333333333332;0,008;80,0;3710;3711;3711,0;0,000;3710;3711;3711,0;0,000;;;;;;;;;;;;;
orientdb;3.ResponsivenessIndexScan;run;1;1;10000;1;1;1;50;95;0;5;0;false;true;16165;618,6204763377668;1232384,0;1;2;1,3333333333333333;0,000;3;7;5,333333333333333;0,002;17;193;89,66666666666667;0,075;74,0;33;278271;590,7672896352474;7,586;33;278271;528,145354961028;6,993;34;227071;637,7362142518565;8,002;;;;;47;11575;2979,7391304347825;1,815;
orientdb;3.ResponsivenessIndexScan;run;2;1;10000;1;1;1;50;95;0;5;0;false;true;18289;546,7767510525453;1174016,0;1;2;1,3333333333333333;0,000;3;7;5,333333333333333;0,002;17;192;100,33333333333333;0,072;89,0;34;301823;683,7625947995666;8,076;34;159231;752,617863914051;8,085;34;301823;632,1184231316164;8,068;;;;;41;11743;3185,092885375494;1,789;
orientdb;3.ResponsivenessIndexScan;run;3;1;10000;1;1;1;50;95;0;5;0;false;true;18105;552,3336095001381;1212928,0;1;1;1,0;0,000;3;7;5,333333333333333;0,002;17;229;118,0;0,087;92,0;34;202495;665,1021126760563;7,464;34;202495;658,3064040446598;7,430;35;192767;670,1991625849265;7,489;;;;;89;11447;3545,9624505928855;1,916;
sparksee;3.ResponsivenessIndexScan;load;1;1;10000;1;1;1;50;95;0;5;0;false;true;693;1,443001443001443;411776,0;1;1;1,0;0,000;2;3;2,5;0,001;10;15;12,5;0,003;213312,0;932;932;932,0;0,000;932;932;932,0;0,000;;;;;;;;;;;;;
sparksee;3.ResponsivenessIndexScan;load;2;1;10000;1;1;1;50;95;0;5;0;false;true;694;1,440922190201729;422528,0;1;1;1,0;0,000;2;3;2,5;0,001;10;15;12,5;0,003;192192,0;974;974;974,0;0,000;974;974;974,0;0,000;;;;;;;;;;;;;
sparksee;3.ResponsivenessIndexScan;load;3;1;10000;1;1;1;50;95;0;5;0;false;true;685;1,4598540145985401;321920,0;1;1;1,0;0,000;2;3;2,5;0,001;10;14;12,0;0,002;293248,0;919;919;919,0;0,000;919;919;919,0;0,000;;;;;;;;;;;;;
sparksee;3.ResponsivenessIndexScan;run;1;1;10000;1;1;1;50;95;0;5;0;false;true;5145;1943,634596695821;288384,0;1;2;1,5;0,001;2;3;2,5;0,001;12;151;81,5;0,070;298624,0;39;5635;58,366964608161794;0,055;39;5635;49,11523067200337;0,059;54;4787;65,30613051034919;0,050;;;;;45;137855;5769,158102766798;15,958;
