database;workloadName;phase;run;recordcount;operationcount;productsperorder;componentsperproduct;testparametercount;fieldlength;insertproportion;readproportion;scanproportion;updateproportion;onlynodes;index;overall time (ms);overall throughput (ops/sec);initialise average (ms);sys_load_avg min;sys_load_avg max;sys_load_avg average;sys_load_avg StdD;thread_count min;thread_count max;thread_count average;thread_count StdD;used_mem_mb min;used_mem_mb max;used_mem_mb average;used_mem_mb StdD;cleanup average;insert min (us);insert max (us);insert average (us);insert StdD (us);insertNode min (us);insertNode max (us);insertNode average (us);insertNode StdD (us);insertEdge min (us);insertEdge max (us);insertEdge average (us);insertEdge StdD (us);read min (us);read max (us);read average (us);read StdD (us);scan min (us);scan max (us);scan average (us);scan StdD (us)
neo4j;1.DifferenceEdgeNoIndex10000Nodes;load;1;1;10000;1;1;1;10;1;0;;0;TRUE;;4541;0,220215811;3238912;1;1;1;0;3;3;3;0;12;63;37,5;0,026;783104;496384;496639;496512;0;496384;496639;496512;0;;;;;;;;;;;;
neo4j;1.DifferenceEdgeNoIndex10000Nodes;load;2;1;10000;1;1;1;10;1;0;;0;TRUE;;5001;0,199960008;3144704;1;1;1;0;3;3;3;0;11;63;37;0,026;1416704;424704;424959;424832;0;424704;424959;424832;0;;;;;;;;;;;;
neo4j;1.DifferenceEdgeNoIndex10000Nodes;load;3;1;10000;1;1;1;10;1;0;;0;TRUE;;5165;0,193610842;3527680;1;1;1;0;3;3;3;0;12;62;37;0,025;1202688;417024;417279;417152;0;417024;417279;417152;0;;;;;;;;;;;;
neo4j;1.DifferenceEdgeNoIndex10000Nodes;run;1;1;10000;1;1;1;10;1;0;;0;TRUE;;815451;12,26315254;1573376;1;2;1,43373494;0;3;11;9,903614458;0,001;15;80;49,43373494;0,015;2204672;54336;348671;81085,2336;26,368;54336;348671;81085,2336;26,368;;;;;;;;;;;;
neo4j;1.DifferenceEdgeNoIndex10000Nodes;run;2;1;10000;1;1;1;10;1;0;;0;TRUE;;822087;12,16416267;1740288;1;2;1,55952381;0;3;11;9,869047619;0,001;15;81;45,47619048;0,015;2331648;56832;408831;81720,256;32,327;56832;408831;81720,256;32,327;;;;;;;;;;;;
neo4j;1.DifferenceEdgeNoIndex10000Nodes;run;3;1;10000;1;1;1;10;1;0;;0;TRUE;;821179;12,17761292;1630720;1;2;1,416666667;0;3;11;9,869047619;0,001;16;81;47,21428571;0,014;2153472;55648;494847;81661,0112;34,163;55648;494847;81661,0112;34,163;;;;;;;;;;;;
orientdb;1.DifferenceEdgeNoIndex10000Nodes;load;1;1;10000;1;1;1;10;1;0;;0;TRUE;;14549;0,068733246;1,45E+07;1;2;1,666666667;0;3;7;5,333333333;0,002;15;35;24,66666667;0,008;76;3492;3493;3493;0;3492;3493;3493;0;;;;;;;;;;;;
orientdb;1.DifferenceEdgeNoIndex10000Nodes;load;2;1;10000;1;1;1;10;1;0;;0;TRUE;;15622;0,06401229;1,56E+07;2;2;2;0;3;7;5,333333333;0,002;15;36;25;0,009;94;3608;3609;3609;0;3608;3609;3609;0;;;;;;;;;;;;
orientdb;1.DifferenceEdgeNoIndex10000Nodes;load;3;1;10000;1;1;1;10;1;0;;0;TRUE;;14956;0,066862798;1,49E+07;2;2;2;0;3;7;5,333333333;0,002;15;33;23,33333333;0,007;73;3542;3543;3543;0;3542;3543;3543;0;;;;;;;;;;;;
orientdb;1.DifferenceEdgeNoIndex10000Nodes;run;1;1;10000;1;1;1;10;1;0;;0;TRUE;;8653;1155,668554;1266176;2;2;2;0;3;6;4,5;0,002;17;65;41;0,024;115;48;204287;708,4221;8,132;48;204287;708,4221;8,132;;;;;;;;;;;;
orientdb;1.DifferenceEdgeNoIndex10000Nodes;run;2;1;10000;1;1;1;10;1;0;;0;TRUE;;7854;1273,236567;1186304;2;2;2;0;3;6;4,5;0,002;17;61;39;0,022;75;47;183039;639,9885;7,756;47;183039;639,9885;7,756;;;;;;;;;;;;
